Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,year
0 days 00:24:03.895000,HAM,44,0 days 00:01:39.717000,2.0,1.0,,,0 days 00:00:27.045000,0 days 00:00:38.321000,0 days 00:00:34.351000,0 days 00:22:51.223000,0 days 00:23:29.544000,0 days 00:24:03.895000,310.0,273.0,247.0,301.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:22:24.178000,2018-09-15 13:07:24.229,1,,False,,False,True,2018
0 days 00:28:23.212000,HAM,44,0 days 00:01:39.403000,4.0,1.0,,,0 days 00:00:27.076000,0 days 00:00:38.278000,0 days 00:00:34.049000,0 days 00:27:10.885000,0 days 00:27:49.163000,0 days 00:28:23.212000,314.0,276.0,262.0,303.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:26:43.809000,2018-09-15 13:11:43.860,1,,False,,False,True,2018
0 days 00:45:18.757000,HAM,44,0 days 00:01:37.344000,8.0,2.0,,,0 days 00:00:26.634000,0 days 00:00:37.478000,0 days 00:00:33.232000,0 days 00:44:08.047000,0 days 00:44:45.525000,0 days 00:45:18.757000,315.0,278.0,261.0,305.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 00:43:41.413000,2018-09-15 13:28:41.464,1,,False,,False,True,2018
0 days 00:56:03.959000,HAM,44,0 days 00:01:38.889000,11.0,3.0,,,0 days 00:00:27.288000,0 days 00:00:37.353000,0 days 00:00:34.248000,0 days 00:54:52.358000,0 days 00:55:29.711000,0 days 00:56:03.959000,316.0,278.0,194.0,283.0,False,HYPERSOFT,2.0,True,Mercedes,0 days 00:54:25.070000,2018-09-15 13:39:25.121,1,,False,,False,True,2018
0 days 01:07:30.810000,HAM,44,0 days 00:01:36.015000,14.0,4.0,,,0 days 00:00:26.263000,0 days 00:00:36.967000,0 days 00:00:32.785000,0 days 01:06:21.058000,0 days 01:06:58.025000,0 days 01:07:30.810000,318.0,279.0,266.0,308.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:05:54.795000,2018-09-15 13:50:54.846,1,,False,,False,True,2018
0 days 00:24:29.523000,VER,33,0 days 00:01:38.751000,2.0,1.0,,,0 days 00:00:26.934000,0 days 00:00:37.951000,0 days 00:00:33.866000,0 days 00:23:17.706000,0 days 00:23:55.657000,0 days 00:24:29.523000,307.0,273.0,259.0,300.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:22:50.772000,2018-09-15 13:07:50.823,1,,False,,False,True,2018
0 days 00:26:48.224000,VER,33,0 days 00:02:18.701000,3.0,1.0,,,0 days 00:00:35.580000,0 days 00:00:51.075000,0 days 00:00:52.046000,0 days 00:25:05.103000,0 days 00:25:56.178000,0 days 00:26:48.224000,235.0,252.0,257.0,254.0,False,HYPERSOFT,3.0,True,Red Bull Racing,0 days 00:24:29.523000,2018-09-15 13:09:29.574,1,,False,,False,True,2018
0 days 00:46:13.587000,VER,33,0 days 00:01:37.214000,6.0,2.0,,,0 days 00:00:26.611000,0 days 00:00:37.121000,0 days 00:00:33.482000,0 days 00:45:02.984000,0 days 00:45:40.105000,0 days 00:46:13.587000,309.0,273.0,262.0,300.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 00:44:36.373000,2018-09-15 13:29:36.424,1,,False,,False,True,2018
0 days 01:07:58.960000,VER,33,0 days 00:01:36.334000,9.0,3.0,,,0 days 00:00:26.428000,0 days 00:00:36.996000,0 days 00:00:32.910000,0 days 01:06:49.054000,0 days 01:07:26.050000,0 days 01:07:58.960000,310.0,274.0,259.0,301.0,True,HYPERSOFT,2.0,True,Red Bull Racing,0 days 01:06:22.626000,2018-09-15 13:51:22.677,1,,False,,False,True,2018
0 days 01:16:06.097000,VER,33,0 days 00:01:36.607000,12.0,4.0,,,0 days 00:00:26.415000,0 days 00:00:36.857000,0 days 00:00:33.335000,0 days 01:14:55.905000,0 days 01:15:32.762000,0 days 01:16:06.097000,310.0,273.0,259.0,301.0,False,HYPERSOFT,2.0,True,Red Bull Racing,0 days 01:14:29.490000,2018-09-15 13:59:29.541,1,,False,,False,True,2018
