Date,Status,X,Y,Z,Source,Time,SessionTime
2023-09-16 14:06:23.713,OnTrack,1046.0,-261.0,188.0,pos,0 days 00:00:00.132000,0 days 01:21:23.074000
2023-09-16 14:06:24.053,OnTrack,1005.0,-4.0,188.0,pos,0 days 00:00:00.472000,0 days 01:21:23.414000
2023-09-16 14:06:24.553,OnTrack,962.0,272.0,188.0,pos,0 days 00:00:00.972000,0 days 01:21:23.914000
2023-09-16 14:06:24.713,OnTrack,929.0,492.0,188.0,pos,0 days 00:00:01.132000,0 days 01:21:24.074000
2023-09-16 14:06:25.093,OnTrack,898.0,698.0,188.0,pos,0 days 00:00:01.512000,0 days 01:21:24.454000
2023-09-16 14:06:25.393,OnTrack,864.0,939.0,188.0,pos,0 days 00:00:01.812000,0 days 01:21:24.754000
2023-09-16 14:06:25.513,OnTrack,851.0,1036.0,188.0,pos,0 days 00:00:01.932000,0 days 01:21:24.874000
2023-09-16 14:06:25.813,OnTrack,813.0,1314.0,188.0,pos,0 days 00:00:02.232000,0 days 01:21:25.174000
2023-09-16 14:06:26.093,OnTrack,788.0,1511.0,188.0,pos,0 days 00:00:02.512000,0 days 01:21:25.454000
2023-09-16 14:06:26.433,OnTrack,750.0,1807.0,188.0,pos,0 days 00:00:02.852000,0 days 01:21:25.794000
2023-09-16 14:06:26.593,OnTrack,734.0,1941.0,188.0,pos,0 days 00:00:03.012000,0 days 01:21:25.954000
2023-09-16 14:06:26.753,OnTrack,717.0,2081.0,188.0,pos,0 days 00:00:03.172000,0 days 01:21:26.114000
2023-09-16 14:06:26.933,OnTrack,700.0,2232.0,188.0,pos,0 days 00:00:03.352000,0 days 01:21:26.294000
2023-09-16 14:06:27.213,OnTrack,674.0,2467.0,187.0,pos,0 days 00:00:03.632000,0 days 01:21:26.574000
2023-09-16 14:06:27.393,OnTrack,657.0,2617.0,187.0,pos,0 days 00:00:03.812000,0 days 01:21:26.754000
2023-09-16 14:06:27.673,OnTrack,631.0,2836.0,187.0,pos,0 days 00:00:04.092000,0 days 01:21:27.034000
2023-09-16 14:06:27.853,OnTrack,598.0,3043.0,187.0,pos,0 days 00:00:04.272000,0 days 01:21:27.214000
2023-09-16 14:06:28.232,OnTrack,571.0,3175.0,187.0,pos,0 days 00:00:04.651000,0 days 01:21:27.593000
2023-09-16 14:06:28.472,OnTrack,539.0,3289.0,187.0,pos,0 days 00:00:04.891000,0 days 01:21:27.833000
2023-09-16 14:06:28.592,OnTrack,520.0,3339.0,187.0,pos,0 days 00:00:05.011000,0 days 01:21:27.953000
2023-09-16 14:06:28.752,OnTrack,496.0,3387.0,186.0,pos,0 days 00:00:05.171000,0 days 01:21:28.113000
2023-09-16 14:06:29.112,OnTrack,411.0,3502.0,186.0,pos,0 days 00:00:05.531000,0 days 01:21:28.473000
2023-09-16 14:06:29.272,OnTrack,363.0,3543.0,187.0,pos,0 days 00:00:05.691000,0 days 01:21:28.633000
2023-09-16 14:06:29.432,OnTrack,311.0,3575.0,187.0,pos,0 days 00:00:05.851000,0 days 01:21:28.793000
2023-09-16 14:06:29.552,OnTrack,268.0,3593.0,187.0,pos,0 days 00:00:05.971000,0 days 01:21:28.913000
2023-09-16 14:06:29.792,OnTrack,176.0,3620.0,187.0,pos,0 days 00:00:06.211000,0 days 01:21:29.153000
2023-09-16 14:06:29.973,OnTrack,97.0,3637.0,188.0,pos,0 days 00:00:06.392000,0 days 01:21:29.334000
2023-09-16 14:06:30.333,OnTrack,-49.0,3667.0,187.0,pos,0 days 00:00:06.752000,0 days 01:21:29.694000
2023-09-16 14:06:30.533,OnTrack,-124.0,3689.0,186.0,pos,0 days 00:00:06.952000,0 days 01:21:29.894000
2023-09-16 14:06:30.753,OnTrack,-211.0,3729.0,186.0,pos,0 days 00:00:07.172000,0 days 01:21:30.114000
2023-09-16 14:06:30.913,OnTrack,-271.0,3768.0,185.0,pos,0 days 00:00:07.332000,0 days 01:21:30.274000
2023-09-16 14:06:31.073,OnTrack,-321.0,3806.0,184.0,pos,0 days 00:00:07.492000,0 days 01:21:30.434000
2023-09-16 14:06:31.273,OnTrack,-385.0,3859.0,185.0,pos,0 days 00:00:07.692000,0 days 01:21:30.634000
2023-09-16 14:06:31.533,OnTrack,-469.0,3933.0,184.0,pos,0 days 00:00:07.952000,0 days 01:21:30.894000
2023-09-16 14:06:31.753,OnTrack,-535.0,3988.0,184.0,pos,0 days 00:00:08.172000,0 days 01:21:31.114000
2023-09-16 14:06:31.953,OnTrack,-592.0,4029.0,184.0,pos,0 days 00:00:08.372000,0 days 01:21:31.314000
2023-09-16 14:06:32.193,OnTrack,-659.0,4067.0,182.0,pos,0 days 00:00:08.612000,0 days 01:21:31.554000
2023-09-16 14:06:32.413,OnTrack,-718.0,4086.0,183.0,pos,0 days 00:00:08.832000,0 days 01:21:31.774000
2023-09-16 14:06:32.633,OnTrack,-779.0,4090.0,183.0,pos,0 days 00:00:09.052000,0 days 01:21:31.994000
2023-09-16 14:06:32.793,OnTrack,-841.0,4081.0,183.0,pos,0 days 00:00:09.212000,0 days 01:21:32.154000
2023-09-16 14:06:33.273,OnTrack,-932.0,4038.0,183.0,pos,0 days 00:00:09.692000,0 days 01:21:32.634000
2023-09-16 14:06:33.453,OnTrack,-987.0,3986.0,183.0,pos,0 days 00:00:09.872000,0 days 01:21:32.814000
2023-09-16 14:06:33.833,OnTrack,-1020.0,3939.0,183.0,pos,0 days 00:00:10.252000,0 days 01:21:33.194000
2023-09-16 14:06:33.993,OnTrack,-1039.0,3904.0,183.0,pos,0 days 00:00:10.412000,0 days 01:21:33.354000
2023-09-16 14:06:34.193,OnTrack,-1059.0,3858.0,183.0,pos,0 days 00:00:10.612000,0 days 01:21:33.554000
2023-09-16 14:06:34.413,OnTrack,-1079.0,3801.0,184.0,pos,0 days 00:00:10.832000,0 days 01:21:33.774000
2023-09-16 14:06:34.652,OnTrack,-1105.0,3693.0,184.0,pos,0 days 00:00:11.071000,0 days 01:21:34.013000
2023-09-16 14:06:34.992,OnTrack,-1123.0,3583.0,184.0,pos,0 days 00:00:11.411000,0 days 01:21:34.353000
2023-09-16 14:06:35.532,OnTrack,-1133.0,3434.0,182.0,pos,0 days 00:00:11.951000,0 days 01:21:34.893000
2023-09-16 14:06:35.732,OnTrack,-1131.0,3351.0,181.0,pos,0 days 00:00:12.151000,0 days 01:21:35.093000
2023-09-16 14:06:35.912,OnTrack,-1125.0,3270.0,180.0,pos,0 days 00:00:12.331000,0 days 01:21:35.273000
2023-09-16 14:06:36.072,OnTrack,-1117.0,3196.0,179.0,pos,0 days 00:00:12.491000,0 days 01:21:35.433000
2023-09-16 14:06:36.312,OnTrack,-1096.0,3080.0,177.0,pos,0 days 00:00:12.731000,0 days 01:21:35.673000
2023-09-16 14:06:36.493,OnTrack,-1072.0,2980.0,177.0,pos,0 days 00:00:12.912000,0 days 01:21:35.854000
2023-09-16 14:06:36.753,OnTrack,-1015.0,2802.0,177.0,pos,0 days 00:00:13.172000,0 days 01:21:36.114000
2023-09-16 14:06:37.153,OnTrack,-958.0,2650.0,177.0,pos,0 days 00:00:13.572000,0 days 01:21:36.514000
2023-09-16 14:06:37.473,OnTrack,-904.0,2517.0,178.0,pos,0 days 00:00:13.892000,0 days 01:21:36.834000
2023-09-16 14:06:37.773,OnTrack,-803.0,2278.0,182.0,pos,0 days 00:00:14.192000,0 days 01:21:37.134000
2023-09-16 14:06:38.053,OnTrack,-763.0,2184.0,184.0,pos,0 days 00:00:14.472000,0 days 01:21:37.414000
2023-09-16 14:06:38.333,OnTrack,-695.0,2016.0,187.0,pos,0 days 00:00:14.752000,0 days 01:21:37.694000
2023-09-16 14:06:38.513,OnTrack,-652.0,1905.0,188.0,pos,0 days 00:00:14.932000,0 days 01:21:37.874000
2023-09-16 14:06:38.713,OnTrack,-606.0,1779.0,189.0,pos,0 days 00:00:15.132000,0 days 01:21:38.074000
2023-09-16 14:06:38.913,OnTrack,-563.0,1651.0,190.0,pos,0 days 00:00:15.332000,0 days 01:21:38.274000
2023-09-16 14:06:39.213,OnTrack,-506.0,1453.0,190.0,pos,0 days 00:00:15.632000,0 days 01:21:38.574000
2023-09-16 14:06:39.313,OnTrack,-490.0,1385.0,190.0,pos,0 days 00:00:15.732000,0 days 01:21:38.674000
2023-09-16 14:06:39.513,OnTrack,-462.0,1248.0,190.0,pos,0 days 00:00:15.932000,0 days 01:21:38.874000
2023-09-16 14:06:39.733,OnTrack,-440.0,1094.0,189.0,pos,0 days 00:00:16.152000,0 days 01:21:39.094000
2023-09-16 14:06:40.653,OnTrack,-464.0,572.0,188.0,pos,0 days 00:00:17.072000,0 days 01:21:40.014000
2023-09-16 14:06:40.713,OnTrack,-473.0,546.0,188.0,pos,0 days 00:00:17.132000,0 days 01:21:40.074000
2023-09-16 14:06:41.033,OnTrack,-574.0,381.0,188.0,pos,0 days 00:00:17.452000,0 days 01:21:40.394000
2023-09-16 14:06:41.452,OnTrack,-675.0,303.0,187.0,pos,0 days 00:00:17.871000,0 days 01:21:40.813000
2023-09-16 14:06:41.652,OnTrack,-753.0,264.0,187.0,pos,0 days 00:00:18.071000,0 days 01:21:41.013000
2023-09-16 14:06:41.852,OnTrack,-836.0,233.0,187.0,pos,0 days 00:00:18.271000,0 days 01:21:41.213000
2023-09-16 14:06:42.092,OnTrack,-941.0,204.0,187.0,pos,0 days 00:00:18.511000,0 days 01:21:41.453000
2023-09-16 14:06:42.252,OnTrack,-1013.0,189.0,187.0,pos,0 days 00:00:18.671000,0 days 01:21:41.613000
2023-09-16 14:06:42.532,OnTrack,-1145.0,169.0,188.0,pos,0 days 00:00:18.951000,0 days 01:21:41.893000
2023-09-16 14:06:42.692,OnTrack,-1285.0,156.0,188.0,pos,0 days 00:00:19.111000,0 days 01:21:42.053000
2023-09-16 14:06:43.153,OnTrack,-1477.0,152.0,188.0,pos,0 days 00:00:19.572000,0 days 01:21:42.514000
