year,round,session,status,laps,drivers,error
2019,1,FP1,OK,445,20,
2019,1,FP2,OK,674,20,
2019,1,FP3,OK,316,20,
2019,2,FP1,OK,446,20,
2019,2,FP2,OK,605,20,
2019,2,FP3,OK,283,20,
2019,3,FP1,OK,449,20,
2019,3,FP2,OK,654,20,
2019,3,FP3,OK,214,20,
2019,4,FP1,OK,25,18,
2019,4,FP2,OK,486,19,
2019,4,FP3,OK,361,20,
2019,5,FP1,OK,501,20,
2019,5,FP2,OK,755,20,
2019,5,FP3,OK,295,20,
2019,6,FP1,OK,707,20,
2019,6,FP2,OK,868,20,
2019,6,FP3,OK,504,20,
2019,7,FP1,OK,595,20,
2019,7,FP2,OK,734,20,
2019,7,FP3,OK,353,20,
2019,8,FP1,OK,432,20,
2019,8,FP2,OK,628,20,
2019,8,FP3,OK,292,20,
2019,9,FP1,OK,579,20,
2019,9,FP2,OK,706,20,
2019,9,FP3,OK,400,20,
2019,10,FP1,OK,481,20,
2019,10,FP2,OK,619,20,
2019,10,FP3,OK,329,20,
2019,11,FP1,OK,527,20,
2019,11,FP2,OK,602,20,
2019,11,FP3,OK,351,20,
2019,12,FP1,OK,565,20,
2019,12,FP2,OK,331,20,
2019,12,FP3,OK,400,20,
2019,13,FP1,OK,416,20,
2019,13,FP2,OK,512,20,
2019,13,FP3,OK,244,20,
2019,14,FP1,OK,287,20,
2019,14,FP2,OK,674,20,
2019,14,FP3,OK,349,20,
2019,15,FP1,OK,437,20,
2019,15,FP2,OK,621,20,
2019,15,FP3,OK,249,20,
2019,16,FP1,OK,459,20,
2019,16,FP2,OK,609,20,
2019,16,FP3,OK,305,20,
2019,17,FP1,OK,471,20,
2019,17,FP2,OK,629,20,
2019,17,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2019,18,FP1,OK,458,20,
2019,18,FP2,OK,697,20,
2019,18,FP3,OK,237,19,
2019,19,FP1,OK,534,20,
2019,19,FP2,OK,608,20,
2019,19,FP3,OK,291,20,
2019,20,FP1,OK,214,20,
2019,20,FP2,OK,660,20,
2019,20,FP3,OK,384,20,
2019,21,FP1,OK,392,20,
