Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:03.851000,VER,1,,1.0,1.0,0 days 00:15:58.670000,,,0 days 00:00:49.611000,0 days 00:00:42.252000,,0 days 00:17:21.638000,0 days 00:18:04.012000,263.0,255.0,260.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:58.670000,2023-09-16 13:00:59.309,1,,False,,False,False
0 days 00:19:36.713000,VER,1,0 days 00:01:32.862000,2.0,1.0,,,0 days 00:00:27.348000,0 days 00:00:39.244000,0 days 00:00:26.270000,0 days 00:18:31.199000,0 days 00:19:10.443000,0 days 00:19:36.713000,305.0,276.0,255.0,300.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:03.851000,2023-09-16 13:03:04.490,1,,False,,False,True
0 days 00:22:08.449000,VER,1,,3.0,1.0,,,0 days 00:00:49.824000,0 days 00:01:01.633000,0 days 00:00:40.268000,0 days 00:20:26.572000,0 days 00:21:28.258000,0 days 00:22:08.601000,137.0,164.0,153.0,226.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:36.713000,2023-09-16 13:04:37.352,1,,False,,False,False
0 days 00:24:25.899000,VER,1,0 days 00:02:17.450000,4.0,1.0,,,0 days 00:00:42.243000,0 days 00:00:52.971000,0 days 00:00:42.236000,0 days 00:22:50.692000,0 days 00:23:43.663000,0 days 00:24:25.899000,180.0,234.0,259.0,158.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:08.449000,2023-09-16 13:07:09.088,1,,False,,False,True
0 days 00:25:58.297000,VER,1,0 days 00:01:32.398000,5.0,1.0,,,0 days 00:00:27.144000,0 days 00:00:39.064000,0 days 00:00:26.190000,0 days 00:24:53.043000,0 days 00:25:32.107000,0 days 00:25:58.297000,310.0,277.0,259.0,301.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:24:25.899000,2023-09-16 13:09:26.538,1,,False,,False,True
0 days 00:27:51.199000,VER,1,0 days 00:01:52.902000,6.0,1.0,,0 days 00:27:43.455000,0 days 00:00:30.599000,0 days 00:00:43.294000,0 days 00:00:39.009000,0 days 00:26:28.896000,0 days 00:27:12.190000,0 days 00:27:51.199000,254.0,211.0,,253.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:25:58.297000,2023-09-16 13:10:58.936,1,,False,,False,False
0 days 00:32:58.642000,VER,1,,7.0,2.0,0 days 00:29:53.718000,,,0 days 00:01:08.429000,0 days 00:01:18.466000,,0 days 00:31:40.201000,0 days 00:32:58.762000,222.0,229.0,248.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:27:51.199000,2023-09-16 13:12:51.838,1,,False,,False,False
0 days 00:34:51.049000,VER,1,0 days 00:01:52.407000,8.0,2.0,,0 days 00:34:43.229000,0 days 00:00:27.462000,0 days 00:00:38.938000,0 days 00:00:46.007000,0 days 00:33:26.104000,0 days 00:34:05.042000,0 days 00:34:51.049000,314.0,278.0,,298.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:32:58.642000,2023-09-16 13:17:59.281,125,,False,,False,False
0 days 01:10:06.910000,VER,1,,9.0,3.0,0 days 01:08:05.615000,,,0 days 00:00:49.283000,0 days 00:00:29.216000,,0 days 01:09:37.754000,0 days 01:10:06.910000,219.0,241.0,260.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:34:51.049000,2023-09-16 13:19:51.688,512,,False,,False,False
0 days 01:11:39.217000,VER,1,0 days 00:01:32.307000,10.0,3.0,,,0 days 00:00:27.250000,0 days 00:00:38.931000,0 days 00:00:26.126000,0 days 01:10:34.160000,0 days 01:11:13.091000,0 days 01:11:39.217000,305.0,277.0,260.0,300.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:10:06.910000,2023-09-16 13:55:07.549,1,,False,,False,True
