Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-09-16 14:06:23.683,10760.0,269.0,6,100.0,False,12,car,0 days 00:00:00.102000,0 days 01:21:23.044000,7.621666666666665
2023-09-16 14:06:23.884,10760.0,273.0,7,100.0,False,12,car,0 days 00:00:00.303000,0 days 01:21:23.245000,22.864166666666666
2023-09-16 14:06:24.044,10873.0,275.0,7,100.0,False,12,car,0 days 00:00:00.463000,0 days 01:21:23.405000,35.08638888888889
2023-09-16 14:06:24.204,10964.0,278.0,7,100.0,False,12,car,0 days 00:00:00.623000,0 days 01:21:23.565000,47.441944444444445
2023-09-16 14:06:24.404,11094.0,279.0,7,100.0,False,12,car,0 days 00:00:00.823000,0 days 01:21:23.765000,62.941944444444445
2023-09-16 14:06:24.644,11252.0,285.0,7,100.0,False,12,car,0 days 00:00:01.063000,0 days 01:21:24.005000,81.94194444444445
2023-09-16 14:06:25.004,11420.0,288.0,7,100.0,False,12,car,0 days 00:00:01.423000,0 days 01:21:24.365000,110.74194444444446
2023-09-16 14:06:25.204,11501.0,291.0,7,100.0,False,12,car,0 days 00:00:01.623000,0 days 01:21:24.565000,126.90861111111111
2023-09-16 14:06:25.484,11606.0,294.0,7,100.0,False,12,car,0 days 00:00:01.903000,0 days 01:21:24.845000,149.77527777777777
2023-09-16 14:06:25.764,10415.0,297.0,7,100.0,False,12,car,0 days 00:00:02.183000,0 days 01:21:25.125000,172.87527777777777
2023-09-16 14:06:25.924,10572.0,297.0,8,100.0,False,12,car,0 days 00:00:02.343000,0 days 01:21:25.285000,186.07527777777779
2023-09-16 14:06:26.164,10669.0,300.0,8,100.0,False,12,car,0 days 00:00:02.583000,0 days 01:21:25.525000,206.0752777777778
2023-09-16 14:06:26.404,10754.0,301.0,8,100.0,False,12,car,0 days 00:00:02.823000,0 days 01:21:25.765000,226.14194444444445
2023-09-16 14:06:26.644,10755.0,304.0,8,100.0,False,10,car,0 days 00:00:03.063000,0 days 01:21:26.005000,246.40861111111113
2023-09-16 14:06:26.844,10711.0,304.0,8,100.0,False,8,car,0 days 00:00:03.263000,0 days 01:21:26.205000,263.2975
2023-09-16 14:06:27.164,10789.0,304.0,8,100.0,False,8,car,0 days 00:00:03.583000,0 days 01:21:26.525000,290.31972222222225
2023-09-16 14:06:27.404,10340.0,302.0,8,0.0,True,8,car,0 days 00:00:03.823000,0 days 01:21:26.765000,310.4530555555556
2023-09-16 14:06:27.643,9262.0,261.0,8,0.0,True,8,car,0 days 00:00:04.062000,0 days 01:21:27.004000,327.7805555555556
