iter	Logloss
0	0.6816268989
1	0.671372915
2	0.6589922808
3	0.6480453751
4	0.6377425666
5	0.6273709989
6	0.6181313911
7	0.6084764073
8	0.5974728181
9	0.5864035066
10	0.5764023883
11	0.5684361331
12	0.5595418449
13	0.5504236966
14	0.540693663
15	0.5318708168
16	0.5224965964
17	0.5136819733
18	0.5051455135
19	0.4977013402
20	0.4893692732
21	0.4818673554
22	0.474701362
23	0.4667150503
24	0.4604846897
25	0.4537693881
26	0.4467716084
27	0.4392413817
28	0.4321415152
29	0.4252236232
30	0.419554402
31	0.4137851077
32	0.4079207248
33	0.4018519544
34	0.3961972425
35	0.3911111878
36	0.3851593651
37	0.3800894677
38	0.3739505947
39	0.3684934185
40	0.3624236256
41	0.3577770994
42	0.3527000395
43	0.3477976007
44	0.3432615731
45	0.3386069771
46	0.3348807325
47	0.3305986283
48	0.3261606077
49	0.3224450402
50	0.3190756323
51	0.3145065424
52	0.3099471985
53	0.3061076673
54	0.3022594017
55	0.2985694556
56	0.2947599515
57	0.2911727344
58	0.2884181201
59	0.2849703329
60	0.2818988091
61	0.2779919653
62	0.2743765612
63	0.2717122418
64	0.2690115707
65	0.2654495516
66	0.2625948224
67	0.2597084757
68	0.2561944146
69	0.253221536
70	0.2504954868
71	0.2475935771
72	0.2451816456
73	0.2423250344
74	0.2395293307
75	0.2366071781
76	0.2339226311
77	0.2316027464
78	0.2284956948
79	0.2262638409
80	0.2239389869
81	0.2216532728
82	0.2190641725
83	0.2167055106
84	0.2144568306
85	0.2121288888
86	0.2100213152
87	0.2080892311
88	0.2060978917
89	0.2039683313
90	0.2013348904
91	0.1995745002
92	0.1983135954
93	0.1964554836
94	0.1948355721
95	0.1928281137
96	0.1908430068
97	0.1886758236
98	0.1868725606
99	0.1849827127
100	0.1832356981
101	0.1815204682
102	0.1797592877
103	0.1784019817
104	0.1767648912
105	0.1747773213
106	0.1730937427
107	0.1714397269
108	0.1697536372
109	0.1680834199
110	0.1668007415
111	0.1652097057
112	0.1633771181
113	0.161897647
114	0.1603890995
115	0.1587610357
116	0.1573793375
117	0.1560073765
118	0.1545968834
119	0.1531555857
120	0.1522912332
121	0.1508316838
122	0.1496767105
123	0.1488242468
124	0.1474050477
125	0.146148971
126	0.1449341964
127	0.1441025654
128	0.143043869
129	0.1422373091
130	0.1410689338
131	0.1399532878
132	0.1388229744
133	0.1376632506
134	0.1367379775
135	0.1356133271
136	0.1346907417
137	0.1336366542
138	0.1327162386
139	0.1315199273
140	0.1304802853
141	0.1297989673
142	0.1285947192
143	0.1276054748
144	0.1265784933
145	0.1255898936
146	0.1246043258
147	0.1239871454
148	0.1231015983
149	0.1222808215
150	0.1212728535
151	0.1204127635
152	0.1195215961
153	0.1186957606
154	0.1182692989
155	0.1175700635
156	0.1166622154
157	0.1158299353
158	0.1149386703
159	0.1140188366
160	0.1131688491
161	0.1122491097
162	0.1113970666
163	0.1106033059
164	0.1101037885
165	0.1092807576
166	0.1085644896
167	0.1078839731
168	0.1071327501
169	0.1063788954
170	0.1057749609
171	0.1050733411
172	0.1044047247
173	0.1038999984
174	0.1032772384
175	0.102838438
176	0.1022817396
177	0.1016078183
178	0.1011883972
179	0.1005478813
180	0.09997798774
181	0.09952534012
182	0.09897517994
183	0.09839889044
184	0.09761827872
185	0.09683260043
186	0.09627658745
187	0.09553516647
188	0.09495212028
189	0.09444666455
190	0.09372336807
191	0.09303370148
192	0.09249191807
193	0.09198666628
194	0.09140463551
195	0.09087179195
196	0.0904380318
197	0.08975349892
198	0.08919114087
199	0.08867904511
200	0.08803804377
201	0.08752690036
202	0.08702575237
203	0.08662995386
204	0.08618619999
