iter	Passed	Remaining
0	138	138417
1	141	70431
2	144	48061
3	148	36962
4	151	30103
5	154	25512
6	156	22202
7	159	19728
8	161	17806
9	164	16251
10	166	15000
11	170	13997
12	172	13098
13	174	12317
14	178	11691
15	180	11094
16	183	10581
17	185	10146
18	188	9730
19	190	9353
20	193	9039
21	196	8747
22	199	8483
23	202	8237
24	205	8007
25	208	7808
26	211	7613
27	214	7438
28	217	7289
29	220	7133
30	223	6976
31	226	6838
32	228	6699
33	231	6566
34	234	6466
35	237	6352
36	239	6243
37	242	6149
38	245	6048
39	248	5969
40	251	5877
41	253	5785
42	256	5708
43	259	5638
44	261	5553
45	264	5482
46	266	5409
47	268	5329
48	270	5254
49	273	5193
50	275	5125
51	277	5062
52	280	5009
53	282	4954
54	285	4904
55	287	4854
56	290	4805
57	292	4753
58	295	4709
59	298	4668
60	300	4622
61	302	4577
62	305	4541
63	307	4500
64	310	4463
65	312	4424
66	315	4387
67	317	4348
68	319	4309
69	321	4272
70	324	4244
71	326	4211
72	329	4179
73	331	4145
74	333	4113
75	335	4083
76	338	4056
77	340	4030
78	343	4003
79	345	3977
80	348	3950
81	350	3923
82	352	3899
83	355	3878
84	357	3851
85	360	3828
86	362	3804
87	364	3779
88	366	3752
89	384	3883
90	386	3861
91	388	3838
92	390	3812
93	392	3784
94	394	3759
95	396	3732
96	398	3710
97	400	3688
98	403	3667
99	404	3644
100	406	3622
101	409	3603
102	411	3583
103	413	3561
104	415	3540
105	417	3520
106	419	3499
107	421	3480
108	423	3458
109	425	3440
110	427	3422
111	429	3407
112	432	3392
113	434	3378
114	436	3359
115	438	3342
116	440	3326
117	443	3312
118	445	3296
119	447	3278
120	449	3263
121	451	3247
122	453	3235
123	455	3219
124	457	3205
125	460	3191
126	462	3176
127	463	3159
128	466	3147
129	468	3133
130	469	3117
131	471	3102
132	474	3093
133	476	3079
134	478	3065
135	480	3051
136	482	3038
137	484	3024
138	486	3011
139	488	2997
140	490	2988
141	492	2975
142	494	2962
143	496	2949
144	498	2939
145	500	2927
146	502	2914
147	504	2903
148	506	2893
149	508	2882
150	510	2868
151	512	2857
152	514	2846
153	516	2835
154	518	2824
155	520	2817
156	523	2808
157	525	2801
158	527	2792
159	530	2785
160	532	2776
161	534	2767
162	536	2756
163	538	2747
164	540	2737
165	542	2727
166	544	2717
167	546	2708
168	548	2699
169	551	2690
170	553	2682
171	555	2675
172	557	2666
173	559	2658
174	562	2650
175	564	2643
176	567	2636
177	569	2628
178	571	2621
179	573	2613
180	575	2605
181	578	2601
182	580	2593
183	582	2585
184	585	2578
185	587	2570
186	589	2561
187	590	2552
188	592	2543
189	595	2537
190	597	2530
191	599	2522
192	601	2513
193	603	2506
194	604	2497
195	606	2488
196	608	2480
197	610	2474
198	612	2466
199	614	2458
200	616	2450
201	618	2443
202	620	2435
203	622	2427
204	624	2420
205	626	2415
206	628	2408
207	630	2400
208	632	2392
209	634	2385
210	636	2378
211	638	2371
212	639	2364
213	641	2356
214	643	2350
215	645	2342
216	647	2334
217	648	2326
218	650	2320
219	653	2315
220	654	2308
221	656	2301
222	658	2295
223	660	2288
224	662	2280
225	663	2273
226	665	2267
227	667	2260
228	669	2255
229	671	2249
230	673	2242
231	675	2236
232	677	2229
233	678	2222
234	680	2216
235	682	2210
236	684	2204
237	686	2199
238	688	2193
239	690	2188
240	692	2181
241	694	2175
242	696	2168
243	697	2162
244	700	2157
245	701	2151
246	703	2145
247	705	2138
248	707	2133
249	709	2127
250	710	2121
251	712	2115
252	715	2111
253	716	2105
254	718	2100
255	720	2094
256	722	2089
257	724	2083
258	726	2077
259	728	2072
260	730	2067
261	732	2062
262	734	2056
263	735	2050
264	737	2045
265	739	2040
266	741	2035
267	743	2030
268	745	2025
269	747	2021
270	749	2016
271	751	2011
272	753	2005
273	755	2001
274	757	1995
275	759	1991
276	760	1986
277	763	1981
278	764	1976
279	766	1971
280	768	1965
281	769	1960
282	771	1955
283	774	1952
284	776	1948
285	779	1945
286	781	1940
287	783	1935
288	784	1931
289	787	1927
290	789	1923
291	791	1918
292	793	1913
293	794	1909
294	796	1904
295	798	1899
296	800	1894
297	802	1889
298	804	1886
299	806	1882
300	808	1877
301	810	1872
302	812	1868
303	813	1863
304	815	1858
305	817	1853
306	819	1849
307	821	1845
308	822	1840
309	824	1835
310	826	1830
311	828	1826
312	830	1822
313	831	1817
314	833	1813
315	835	1809
316	837	1805
317	839	1801
318	841	1796
319	844	1794
320	846	1789
321	848	1785
322	850	1782
323	852	1778
324	854	1775
325	856	1770
326	858	1766
327	860	1762
328	862	1758
329	864	1754
330	866	1751
331	868	1747
332	870	1743
333	872	1739
334	874	1735
335	876	1731
336	878	1728
337	880	1723
338	882	1719
339	884	1716
340	886	1713
341	888	1709
342	890	1705
343	892	1702
344	894	1698
345	896	1694
346	898	1690
347	900	1687
348	902	1683
349	904	1680
350	907	1677
351	909	1674
352	911	1670
353	913	1666
354	914	1662
355	916	1658
356	918	1654
357	920	1650
358	923	1648
359	925	1644
360	927	1641
361	928	1637
362	930	1633
363	932	1629
364	934	1625
365	936	1621
366	938	1618
367	940	1614
368	941	1610
369	943	1607
370	945	1603
371	947	1599
372	949	1595
373	951	1591
374	952	1587
375	954	1584
376	956	1580
377	958	1576
378	960	1573
379	961	1569
380	963	1566
381	965	1562
382	967	1558
383	969	1554
384	971	1551
385	972	1547
386	974	1543
387	976	1540
388	978	1536
389	980	1533
390	982	1530
391	984	1526
392	986	1523
393	988	1519
394	990	1516
395	991	1512
396	993	1509
397	995	1505
398	997	1502
399	999	1499
400	1001	1495
401	1002	1491
402	1005	1490
403	1007	1486
404	1009	1482
405	1010	1479
406	1012	1475
407	1014	1472
408	1016	1468
409	1017	1464
410	1019	1461
411	1021	1458
412	1023	1454
413	1025	1451
414	1027	1448
415	1029	1445
416	1031	1441
417	1032	1438
418	1034	1434
419	1036	1431
420	1038	1428
421	1040	1424
422	1042	1421
423	1044	1418
424	1046	1415
425	1047	1411
426	1049	1408
427	1051	1404
428	1053	1401
429	1054	1398
430	1056	1395
431	1058	1391
432	1060	1388
433	1062	1385
434	1063	1381
435	1065	1378
436	1067	1375
437	1069	1372
438	1071	1368
439	1072	1365
440	1074	1362
441	1076	1359
442	1078	1355
443	1080	1352
444	1081	1349
445	1083	1346
446	1085	1342
447	1087	1339
448	1089	1337
449	1091	1333
450	1093	1331
451	1095	1328
452	1097	1325
453	1099	1322
454	1101	1319
455	1104	1317
456	1106	1314
457	1108	1311
458	1110	1308
459	1112	1306
460	1114	1303
461	1117	1301
462	1120	1299
463	1124	1298
464	1126	1296
465	1129	1293
466	1131	1291
467	1134	1289
468	1136	1286
469	1138	1284
470	1141	1281
471	1143	1279
472	1145	1276
473	1148	1274
474	1150	1272
475	1153	1269
476	1155	1267
477	1158	1264
478	1161	1263
479	1164	1261
480	1167	1259
481	1169	1257
482	1173	1255
483	1175	1253
484	1178	1251
485	1181	1249
486	1182	1246
487	1185	1244
488	1189	1242
489	1192	1240
490	1194	1238
491	1197	1236
492	1200	1234
493	1202	1232
494	1205	1230
495	1208	1227
496	1210	1224
497	1213	1223
498	1216	1221
499	1219	1219
500	1221	1216
501	1223	1214
502	1226	1211
503	1228	1208
504	1230	1206
505	1232	1203
506	1251	1217
507	1254	1214
508	1256	1212
509	1259	1210
510	1261	1207
511	1264	1205
512	1267	1203
513	1269	1200
514	1272	1198
515	1274	1195
516	1277	1193
517	1279	1190
518	1282	1188
519	1284	1185
520	1287	1183
521	1289	1180
522	1291	1177
523	1293	1175
524	1296	1172
525	1298	1170
526	1301	1167
527	1303	1165
528	1305	1162
529	1307	1159
530	1310	1157
531	1312	1154
532	1314	1151
533	1317	1149
534	1319	1146
535	1321	1144
536	1323	1141
537	1326	1138
538	1328	1136
539	1331	1133
540	1333	1131
541	1335	1128
542	1337	1125
543	1339	1122
544	1341	1120
545	1344	1117
546	1346	1114
547	1347	1111
548	1350	1109
549	1352	1106
550	1354	1103
551	1355	1100
552	1358	1097
553	1360	1095
554	1362	1092
555	1364	1089
556	1366	1086
557	1373	1088
558	1375	1085
559	1378	1082
560	1379	1079
561	1382	1077
562	1384	1074
563	1386	1071
564	1388	1069
565	1390	1066
566	1392	1063
567	1394	1060
568	1396	1058
569	1398	1055
570	1400	1052
571	1403	1049
572	1405	1047
573	1407	1044
574	1409	1041
575	1411	1038
576	1413	1036
577	1415	1033
578	1417	1030
579	1419	1028
580	1422	1025
581	1424	1022
582	1425	1019
583	1427	1017
584	1429	1014
585	1432	1011
586	1434	1009
587	1436	1006
588	1438	1003
589	1440	1000
590	1442	997
591	1443	995
592	1446	992
593	1448	990
594	1450	987
595	1452	984
596	1455	982
597	1457	979
598	1459	976
599	1461	974
600	1463	971
601	1466	969
602	1469	967
603	1472	965
604	1475	963
605	1479	961
606	1482	960
607	1485	957
608	1488	955
609	1492	953
610	1495	951
611	1497	949
612	1500	947
613	1507	947
614	1511	946
615	1513	943
616	1516	941
617	1519	939
618	1522	936
619	1524	934
620	1526	931
621	1529	929
622	1531	926
623	1535	925
624	1538	923
625	1541	920
626	1544	918
627	1546	916
628	1548	913
629	1553	912
630	1556	910
631	1559	907
632	1561	905
633	1564	902
634	1567	900
635	1570	898
636	1572	896
637	1575	893
638	1578	891
639	1581	889
640	1584	887
641	1587	885
642	1590	882
643	1591	880
644	1593	877
645	1596	874
646	1599	872
647	1601	870
648	1604	867
649	1606	864
650	1608	862
651	1611	859
652	1613	857
653	1616	854
654	1618	852
655	1620	849
656	1623	847
657	1626	845
658	1628	842
659	1631	840
660	1633	837
661	1635	835
662	1638	832
663	1640	830
664	1643	827
665	1645	825
666	1647	822
667	1649	819
668	1651	817
669	1654	814
670	1657	812
671	1659	810
672	1662	807
673	1664	804
674	1666	802
675	1668	799
676	1670	797
677	1672	794
678	1675	791
679	1677	789
680	1679	786
681	1681	784
682	1683	781
683	1686	779
684	1688	776
685	1690	774
686	1693	771
687	1695	768
688	1697	766
689	1699	763
690	1701	760
691	1703	758
692	1705	755
693	1707	753
694	1710	750
695	1712	747
696	1714	745
697	1716	742
698	1719	740
699	1721	737
700	1723	735
701	1726	732
702	1728	730
703	1730	727
704	1732	725
705	1735	722
706	1737	720
707	1740	717
708	1743	715
709	1745	713
710	1749	711
711	1752	708
712	1755	706
713	1757	703
714	1760	701
715	1763	699
716	1766	697
717	1768	694
718	1771	692
719	1773	689
720	1776	687
721	1778	684
722	1780	682
723	1783	679
724	1785	677
725	1788	674
726	1790	672
727	1792	669
728	1794	667
729	1796	664
730	1798	661
731	1799	659
732	1801	656
733	1803	653
734	1805	651
735	1807	648
736	1809	645
737	1810	642
738	1812	640
739	1814	637
740	1816	634
741	1818	632
742	1820	629
743	1822	627
744	1824	624
745	1826	621
746	1827	619
747	1829	616
748	1831	613
749	1833	611
750	1836	608
751	1837	606
752	1839	603
753	1841	600
754	1842	597
755	1844	595
756	1846	592
757	1849	590
758	1851	587
759	1853	585
760	1855	582
761	1857	580
762	1859	577
763	1861	575
764	1863	572
765	1865	569
766	1867	567
767	1869	564
768	1871	562
769	1874	559
770	1877	557
771	1879	555
772	1881	552
773	1883	549
774	1885	547
775	1887	544
776	1889	542
777	1891	539
778	1893	537
779	1895	534
780	1897	532
781	1899	529
782	1900	526
783	1902	524
784	1904	521
785	1906	519
786	1908	516
787	1910	513
788	1912	511
789	1913	508
790	1915	506
791	1917	503
792	1919	500
793	1921	498
794	1923	495
795	1924	493
796	1926	490
797	1928	488
798	1930	485
799	1931	482
800	1933	480
801	1935	477
802	1937	475
803	1939	472
804	1941	470
805	1943	467
806	1945	465
807	1947	462
808	1949	460
809	1951	457
810	1953	455
811	1954	452
812	1956	450
813	1958	447
814	1960	444
815	1962	442
816	1964	439
817	1966	437
818	1968	434
819	1970	432
820	1971	429
821	1973	427
822	1975	424
823	1977	422
824	1981	420
825	1982	417
826	1984	415
827	1986	412
828	1988	410
829	1989	407
830	1991	405
831	1993	402
832	1995	400
833	1997	397
834	1999	395
835	2000	392
836	2002	389
837	2004	387
838	2006	384
839	2008	382
840	2010	380
841	2012	377
842	2014	375
843	2016	372
844	2018	370
845	2019	367
846	2021	365
847	2023	362
848	2025	360
849	2027	357
850	2029	355
851	2031	352
852	2041	351
853	2043	349
854	2045	346
855	2046	344
856	2048	341
857	2050	339
858	2051	336
859	2053	334
860	2055	331
861	2057	329
862	2059	326
863	2060	324
864	2062	321
865	2064	319
866	2066	317
867	2068	314
868	2069	312
869	2072	309
870	2074	307
871	2075	304
872	2077	302
873	2079	299
874	2080	297
875	2083	294
876	2085	292
877	2087	289
878	2089	287
879	2091	285
880	2093	282
881	2094	280
882	2096	277
883	2098	275
884	2101	273
885	2104	270
886	2107	268
887	2109	266
888	2112	263
889	2114	261
890	2117	259
891	2120	256
892	2123	254
893	2125	252
894	2128	249
895	2130	247
896	2133	244
897	2135	242
898	2138	240
899	2141	237
900	2143	235
901	2145	233
902	2148	230
903	2150	228
904	2152	225
905	2154	223
906	2156	221
907	2158	218
908	2161	216
909	2163	213
910	2165	211
911	2167	209
912	2170	206
913	2172	204
914	2174	201
915	2176	199
916	2178	197
917	2181	194
918	2183	192
919	2185	190
920	2187	187
921	2189	185
922	2191	182
923	2193	180
924	2196	178
925	2198	175
926	2200	173
927	2202	170
928	2205	168
929	2207	166
930	2210	163
931	2212	161
932	2215	159
933	2217	156
934	2220	154
935	2222	151
936	2224	149
937	2227	147
938	2229	144
939	2232	142
940	2237	140
941	2241	138
942	2246	135
943	2249	133
944	2253	131
945	2255	128
946	2259	126
947	2262	124
948	2264	121
949	2267	119
950	2269	116
951	2271	114
952	2274	112
953	2277	109
954	2280	107
955	2283	105
956	2285	102
957	2287	100
958	2290	97
959	2292	95
960	2295	93
961	2297	90
962	2300	88
963	2302	85
964	2304	83
965	2306	81
966	2308	78
967	2310	76
968	2312	73
969	2314	71
970	2315	69
971	2317	66
972	2319	64
973	2321	61
974	2323	59
975	2325	57
976	2327	54
977	2329	52
978	2331	50
979	2333	47
980	2335	45
981	2337	42
982	2339	40
983	2341	38
984	2342	35
985	2344	33
986	2346	30
987	2348	28
988	2350	26
989	2351	23
990	2354	21
991	2356	19
992	2358	16
993	2360	14
994	2362	11
995	2364	9
996	2365	7
997	2367	4
998	2369	2
999	2371	0
